condition,calibration,object,n,n_pos,n_neg,threshold_at_spec95,sensitivity_at_that_point,specificity_achieved,lr_plus,lr_plus_lo,lr_plus_hi,n_boot_evaluable,lr_minus_at_spec95,lr_minus_at_sens95,threshold_at_sens95,acmg_tier,benign_tier_at_sens95,cal_method
y_clinvar/BRCA1_included,calibrated_isotonic,single:alphamissense,0,0,0,,,,,,,0,,,,not evaluable,not evaluable,isotonic
y_clinvar/BRCA1_included,raw,single:gnomad_af,288,127,161,0.924731182795699,0.16535433070866143,0.9503105590062112,3.3277559055118116,0.5853642221677183,7.548,1970,0.8782872729144151,0.316929133858268,0.11031221660836892,Supporting,Supporting,isotonic
y_clinvar/BRCA1_included,calibrated_isotonic,single:gnomad_af,288,127,161,0.6923076923076923,0.10236220472440945,0.9565217391304348,2.354330708661417,0.4583333333333333,8.549180327868854,1806,0.9384395132426627,0.19015748031496027,0.2692307692307692,Supporting,Moderate,isotonic
y_clinvar/BRCA1_included,raw,single:phylop,946,555,391,0.5480775103874189,0.9243243243243243,0.9514066496163683,19.021621621621623,18.40795537230172,23.008489978159087,2000,0.07954083115373438,0.05594594594594589,0.4584914074861474,Strong,Moderate,isotonic
y_clinvar/BRCA1_included,calibrated_isotonic,single:phylop,946,555,391,0.6177901817661366,0.918918918918919,0.9667519181585678,27.638253638253637,18.403065134099617,34.08040488922842,2000,0.08386958386958382,0.05814957814957811,0.2,Strong,Moderate,isotonic
y_clinvar/BRCA1_included,raw,single:phastcons,946,555,391,0.9102203611474361,0.790990990990991,0.9514066496163683,16.277761972498816,12.9863364585857,45.1834353741496,1999,0.2196842003293616,0.0479848269321954,0.5158703152388637,Moderate,Strong,isotonic
y_clinvar/BRCA1_included,calibrated_isotonic,single:phastcons,946,555,391,0.9332376814362109,0.790990990990991,0.9514066496163683,16.277761972498816,12.865570665203018,46.360596532569154,1972,0.2196842003293616,0.060578412807712104,0.23529411764705882,Moderate,Moderate,isotonic
y_clinvar/BRCA1_excluded,raw,fusion_M1,734,406,328,0.4563729612255811,0.9975369458128078,0.9512195121951219,20.44950738916256,19.948051948051948,24.204359258633176,2000,0.002589364658330231,0.049261083743842415,0.6137270111210862,Strong,Strong,isotonic
y_clinvar/BRCA1_excluded,calibrated_isotonic,fusion_M1,734,406,328,0.17666626270520297,0.9876847290640394,0.9634146341463414,26.99671592775041,19.91845945539341,157.67546106557305,2000,0.0127829394525161,0.02230348454169062,1.0,Strong,Strong,isotonic
y_clinvar/BRCA1_excluded,raw,mean_M0b,734,406,328,0.46767152044658644,0.9950738916256158,0.9512195121951219,20.39901477832512,19.875389408099686,24.686170212765955,2000,0.0051787293166603455,0.049411729259878634,0.5962531663262188,Strong,Strong,isotonic
y_clinvar/BRCA1_excluded,calibrated_isotonic,mean_M0b,734,406,328,0.26706214928208283,0.9852216748768473,0.9664634146341463,29.377519032691445,19.80971705965297,50.81769761393167,2000,0.015291137666858306,0.029829480863963587,0.8333333333333334,Strong,Strong,isotonic
