set,scheme,model,Brier,ECE,actionable_frac,actionable_acc
y_assay/BRCA1_excluded,decile,single:gpn_msa,0.12385549227131067,0.05034151860842537,0.4838226128072482,0.939103076286824
y_assay/BRCA1_excluded,decile,single:nt,0.17947560045838667,0.07198146744012364,0.1991935379084851,0.927952586714185
y_assay/BRCA1_excluded,decile,single:cadd,0.10731520903533305,0.039609382582821026,0.6677852110165681,0.9331206311699134
y_assay/BRCA1_excluded,decile,single:alphamissense,,,,
y_assay/BRCA1_excluded,decile,single:gnomad_af,0.23612631275746335,0.07923737723523705,0.019714191061387717,0.6324309505805142
y_assay/BRCA1_excluded,decile,single:phylop,0.13165721724648635,0.04387453396307907,0.40707702585270433,0.9237268502180945
y_assay/BRCA1_excluded,decile,single:phastcons,0.15379863519352105,0.08081153543333211,0.17595659573003877,0.817964156226957
y_assay/BRCA1_excluded,vigintile,fusion_M1,0.07183182698050564,0.029397327901864802,0.739391121651491,0.9598210289898186
y_assay/BRCA1_excluded,vigintile,mean_M0b,0.08484233884665729,0.021236768339542515,0.7140645555083744,0.9591445524607508
y_assay/BRCA1_excluded,vigintile,single:spliceai,0.09254399004264734,0.05331740882285991,0.6325773877106212,0.9251614045520749
y_assay/BRCA1_excluded,vigintile,single:pangolin,0.08438299473621494,0.023526958673700575,0.6801260920839935,0.9643899097786331
y_assay/BRCA1_excluded,vigintile,single:alphagenome,0.092271496863232,0.04294121567973809,0.7008554921886434,0.9584746463712501
y_assay/BRCA1_excluded,vigintile,single:gpn_msa,0.1233860140029374,0.04957775637766457,0.4846326041059468,0.9389766141096699
y_assay/BRCA1_excluded,vigintile,single:nt,0.1793760305471619,0.07193993262279183,0.19976623909447447,0.9287915450843196
y_assay/BRCA1_excluded,vigintile,single:cadd,0.10680266985895123,0.040232554063622646,0.6683201114155521,0.9331773033967575
y_assay/BRCA1_excluded,vigintile,single:alphamissense,,,,
y_assay/BRCA1_excluded,vigintile,single:gnomad_af,0.23626858512613128,0.07807293522378486,0.020000170566940725,0.6358089850333408
y_assay/BRCA1_excluded,vigintile,single:phylop,0.1310943212358695,0.044484734538036724,0.40775884994553546,0.9248090732525787
y_assay/BRCA1_excluded,vigintile,single:phastcons,0.15296905821974846,0.08132880122136167,0.1761803456869977,0.8188636540615459
y_assay/BRCA1_excluded,decile_truncated,fusion_M1,0.07193175571955125,0.028978675937661888,0.7396398683993968,0.9596245927237406
y_assay/BRCA1_excluded,decile_truncated,mean_M0b,0.08511498419870261,0.021420717585132098,0.7149463102618849,0.9585398506725641
y_assay/BRCA1_excluded,decile_truncated,single:spliceai,0.0927418577508999,0.05322932488539417,0.6333255396452034,0.925363180332632
y_assay/BRCA1_excluded,decile_truncated,single:pangolin,0.08407455220701976,0.02318773308448322,0.6801784078346463,0.9644818159983405
y_assay/BRCA1_excluded,decile_truncated,single:alphagenome,0.09200433276239783,0.04263145994490276,0.7013753535299121,0.9583289022059782
y_assay/BRCA1_excluded,decile_truncated,single:gpn_msa,0.12385549227131067,0.05034151860842537,0.4838226128072482,0.939103076286824
y_assay/BRCA1_excluded,decile_truncated,single:nt,0.17947560045838667,0.07198146744012364,0.1991935379084851,0.927952586714185
y_assay/BRCA1_excluded,decile_truncated,single:cadd,0.10731520903533305,0.039609382582821026,0.6677852110165681,0.9331206311699134
y_assay/BRCA1_excluded,decile_truncated,single:alphamissense,,,,
y_assay/BRCA1_excluded,decile_truncated,single:gnomad_af,0.23612631275746335,0.07923737723523705,0.019714191061387717,0.6324309505805142
y_assay/BRCA1_excluded,decile_truncated,single:phylop,0.13165721724648635,0.04387453396307907,0.40707702585270433,0.9237268502180945
