tool,stratum,clinvar_arm,n,positive_rate,k_genes,n_pos,n_neg,auroc,auroc_lo,auroc_hi,auroc_i2_pct,auprc_median,rho_median,status,reason,e3_best_tier_pp3,e3_threshold_at_best_tier,e3_logo_heldout_lr_median
alphagenome,pm12,recorded_unclassified,95,0.9052631578947369,0,,,,,,,,,not evaluable,fewer than two genes clear the minimum count,,,
alphagenome,pm12,unrecorded,266,0.9360902255639098,1,,,,,,,,,not evaluable,fewer than two genes clear the minimum count,,,
alphagenome,s3_10,all,3075,0.18536585365853658,7,570.0,2505.0,0.9144064838856122,0.8682171112563171,0.945424311386609,78.59656507364143,0.8120287267181765,0.5552080709370322,ok,,,,
alphagenome,s3_10,classified,673,0.1411589895988113,5,93.0,457.0,0.8710415945205869,0.7431370486066979,0.9403670403278999,66.17348361653748,0.7908961012451521,0.399988571918344,ok,,,,
alphagenome,s3_10,recorded_unclassified,797,0.2521957340025094,6,196.0,585.0,0.9124125519483359,0.8534209514011882,0.9490792130254289,57.48259308107985,0.8593703314150394,0.6183530553032508,ok,,,,
alphagenome,s3_10,unrecorded,1605,0.1707165109034268,5,269.0,1303.0,0.8908521488551366,0.8146496840085513,0.9381059944195753,77.66149595856864,0.756684345078323,0.5529101215094748,ok,,,,
alphagenome,s11_50,all,4537,0.049592241569318934,5,222.0,3970.0,0.8312144373654139,0.7488342769467281,0.89052478829528,60.96023406033918,0.4970887718041038,0.2529482499858582,ok,,,,
alphagenome,s11_50,classified,736,0.043478260869565216,1,,,,,,,,,not evaluable,fewer than two genes clear the minimum count,,,
alphagenome,s11_50,recorded_unclassified,311,0.06109324758842444,0,,,,,,,,,not evaluable,fewer than two genes clear the minimum count,,,
alphagenome,s11_50,unrecorded,3490,0.0498567335243553,4,165.0,3267.0,0.8449401314944581,0.7548015870799601,0.9060661736073696,52.57243727271853,0.47371505912827483,0.24879364493468692,ok,,,,
alphagenome,all_1_50,all,8453,0.18916361055246658,7,1599.0,6854.0,0.9550629074024591,0.9201703605725292,0.9751167740054197,92.31402108247502,0.9305067326927438,0.668171347764081,ok,,,,
alphagenome,all_1_50,classified,1889,0.31551085230280573,7,596.0,1293.0,0.9639657501776318,0.9281739112435645,0.9822628988374368,76.05934084064792,0.9605447223580861,0.7472995152737437,ok,,,,
alphagenome,all_1_50,recorded_unclassified,1203,0.2543640897755611,6,300.0,886.0,0.9276377707510243,0.8736333781583956,0.9596292027066714,70.54362508458487,0.8733757130545882,0.6741633177815545,ok,,,,
alphagenome,all_1_50,unrecorded,5361,0.13001305726543555,6,697.0,4664.0,0.9292839391951248,0.8761110939169604,0.9606598805795457,85.27738947548602,0.8364576559264734,0.5124219033061607,ok,,,,
cadd,pm12,all,841,0.9560047562425684,2,298.0,28.0,0.5148670656394405,0.29067160841686196,0.7332345938894572,77.06604714309142,0.9259995974537565,0.018812743251680863,ok,,,,
cadd,pm12,classified,480,0.9770833333333333,0,,,,,,,,,not evaluable,fewer than two genes clear the minimum count,,,
cadd,pm12,recorded_unclassified,95,0.9052631578947369,0,,,,,,,,,not evaluable,fewer than two genes clear the minimum count,,,
cadd,pm12,unrecorded,266,0.9360902255639098,1,,,,,,,,,not evaluable,fewer than two genes clear the minimum count,,,
cadd,s3_10,all,3075,0.18536585365853658,7,570.0,2505.0,0.7849947830857612,0.7543733123174691,0.8127463658962273,30.033273413447674,0.45819889730865637,0.4046980757449786,ok,,,,
cadd,s3_10,classified,673,0.1411589895988113,5,93.0,457.0,0.8064889545496123,0.6940101849845963,0.8845024941715165,57.398413532867345,0.5547847274590595,0.3262615676799387,ok,,,,
cadd,s3_10,recorded_unclassified,797,0.2521957340025094,6,196.0,585.0,0.7451336582327616,0.6988199697106591,0.7865013183864157,0.0,0.5320993878790441,0.3773225538205029,ok,,,,
cadd,s3_10,unrecorded,1605,0.1707165109034268,5,269.0,1303.0,0.754671743755281,0.6810036914488606,0.8159256209437982,69.75416952459372,0.32293497507552915,0.2671229105063974,ok,,,,
cadd,s11_50,all,4537,0.049592241569318934,5,222.0,3970.0,0.6479562411327485,0.5204136352761622,0.7573922623471318,83.22096990835298,0.1455105340657499,0.09824926810821204,ok,,,,
cadd,s11_50,classified,736,0.043478260869565216,1,,,,,,,,,not evaluable,fewer than two genes clear the minimum count,,,
cadd,s11_50,recorded_unclassified,311,0.06109324758842444,0,,,,,,,,,not evaluable,fewer than two genes clear the minimum count,,,
cadd,s11_50,unrecorded,3490,0.0498567335243553,4,165.0,3267.0,0.6284078041841803,0.47085505338661826,0.7626922401965873,85.1340594412593,0.12271748587775151,0.08870353662308303,ok,,,,
cadd,all_1_50,all,8453,0.18916361055246658,7,1599.0,6854.0,0.8939293432787203,0.8580387017758317,0.921575465744832,87.84951186184765,0.8412336904413567,0.5952751603490349,ok,,,,
cadd,all_1_50,classified,1889,0.31551085230280573,7,596.0,1293.0,0.9416873282453607,0.8925587920036382,0.9691283614529577,81.25436695651841,0.9447829534520419,0.7338982541277744,ok,,,,
