tool,stratum,threshold_basis,threshold,gene_set,clinvar_arm,n_genes,n_pos,n_neg,n_in_band,status,sens,spec,band_lr
phastcons,s3_50,fitted supporting,0.992126,all_genes,all,7,795,6817,987,ok,0.42641509433962266,0.9049435235440809,4.485913114372234
phastcons,s3_50,fitted supporting,0.992126,all_genes,classified,7,127,1282,144,ok,0.5118110236220472,0.9383775351014041,8.305591547891956
phastcons,s3_50,fitted supporting,0.992126,all_genes,recorded_unclassified,7,220,888,255,ok,0.5272727272727272,0.8434684684684685,3.368476128188358
phastcons,s3_50,fitted supporting,0.992126,all_genes,unrecorded,6,448,4647,588,ok,0.35267857142857145,0.9074671831289004,3.811389119601329
phastcons,s3_50,fitted supporting,0.992126,no_BRCA1,all,6,688,6089,855,ok,0.39098837209302323,0.9037608802759074,4.062676105246448
phastcons,s3_50,fitted supporting,0.992126,no_BRCA1,classified,6,86,1084,96,ok,0.36046511627906974,0.9400369003690037,6.011449016100179
phastcons,s3_50,fitted supporting,0.992126,no_BRCA1,recorded_unclassified,6,154,358,171,ok,0.5194805194805194,0.7458100558659218,2.0436706150991863
phastcons,s3_50,fitted supporting,0.992126,no_BRCA1,unrecorded,6,448,4647,588,ok,0.35267857142857145,0.9074671831289004,3.811389119601329
gpn_msa,s3_10,fitted moderate,9.01,all_genes,all,7,570,2505,151,ok,0.17894736842105263,0.9804391217564871,9.148227712137487
gpn_msa,s3_10,fitted moderate,9.01,all_genes,classified,7,95,578,21,ok,0.21052631578947367,0.9982698961937716,121.68421052631578
gpn_msa,s3_10,fitted moderate,9.01,all_genes,recorded_unclassified,7,201,596,40,ok,0.10945273631840796,0.9697986577181208,3.6241017136539524
gpn_msa,s3_10,fitted moderate,9.01,all_genes,unrecorded,6,274,1331,90,ok,0.21897810218978103,0.9774605559729527,9.715328467153286
gpn_msa,s3_10,fitted moderate,9.01,no_BRCA1,all,6,466,2119,134,ok,0.19527896995708155,0.9797074091552619,9.623165984629205
gpn_msa,s3_10,fitted moderate,9.01,no_BRCA1,classified,6,54,476,12,ok,0.2037037037037037,0.9978991596638656,96.96296296296296
gpn_msa,s3_10,fitted moderate,9.01,no_BRCA1,recorded_unclassified,6,138,312,32,ok,0.14492753623188406,0.9615384615384616,3.7681159420289854
gpn_msa,s3_10,fitted moderate,9.01,no_BRCA1,unrecorded,6,274,1331,90,ok,0.21897810218978103,0.9774605559729527,9.715328467153286
gpn_msa,s11_50,fitted supporting,6.63,all_genes,all,6,225,4312,195,ok,0.19111111111111112,0.9647495361781077,5.421520467836258
gpn_msa,s11_50,fitted supporting,6.63,all_genes,classified,6,32,704,17,ok,0.0625,0.9786931818181818,2.9333333333333336
gpn_msa,s11_50,fitted supporting,6.63,all_genes,recorded_unclassified,5,19,292,11,ok,0.05263157894736842,0.9657534246575342,1.5368421052631578
gpn_msa,s11_50,fitted supporting,6.63,all_genes,unrecorded,5,174,3316,167,ok,0.22988505747126436,0.9617008443908324,6.002353154131596
gpn_msa,s11_50,fitted supporting,6.63,no_BRCA1,all,5,222,3970,190,ok,0.19369369369369369,0.9629722921914358,5.2310473739045165
gpn_msa,s11_50,fitted supporting,6.63,no_BRCA1,classified,5,32,608,17,ok,0.0625,0.975328947368421,2.533333333333333
gpn_msa,s11_50,fitted supporting,6.63,no_BRCA1,recorded_unclassified,4,16,46,6,ok,0.0625,0.8913043478260869,
gpn_msa,s11_50,fitted supporting,6.63,no_BRCA1,unrecorded,5,174,3316,167,ok,0.22988505747126436,0.9617008443908324,6.002353154131596
gpn_msa,s3_50,fitted moderate,8.24,all_genes,all,7,795,6817,249,ok,0.18364779874213835,0.9848907143904944,12.154631495389875
gpn_msa,s3_50,fitted moderate,8.24,all_genes,classified,7,127,1282,31,ok,0.2204724409448819,0.9976599063962559,94.21522309711285
gpn_msa,s3_50,fitted moderate,8.24,all_genes,recorded_unclassified,7,220,888,59,ok,0.15454545454545454,0.9718468468468469,5.489454545454545
gpn_msa,s3_50,fitted moderate,8.24,all_genes,unrecorded,6,448,4647,159,ok,0.1875,0.9838605551969012,11.6175
gpn_msa,s3_50,fitted moderate,8.24,no_BRCA1,all,6,688,6089,223,ok,0.18459302325581395,0.9842338643455412,11.70819706879845
gpn_msa,s3_50,fitted moderate,8.24,no_BRCA1,classified,6,86,1084,17,ok,0.16279069767441862,0.9972324723247232,58.821705426356594
gpn_msa,s3_50,fitted moderate,8.24,no_BRCA1,recorded_unclassified,6,154,358,47,ok,0.18831168831168832,0.9497206703910615,3.7453102453102454
gpn_msa,s3_50,fitted moderate,8.24,no_BRCA1,unrecorded,6,448,4647,159,ok,0.1875,0.9838605551969012,11.6175
nt,s3_10,fitted supporting,3.268993377685547,all_genes,all,7,570,2505,241,ok,0.22105263157894736,0.9540918163672655,4.815102974828375
nt,s3_10,fitted supporting,3.268993377685547,all_genes,classified,7,95,578,24,ok,0.11578947368421053,0.9775086505190311,5.148178137651821
nt,s3_10,fitted supporting,3.268993377685547,all_genes,recorded_unclassified,7,201,596,66,ok,0.1890547263681592,0.9530201342281879,4.024164889836531
nt,s3_10,fitted supporting,3.268993377685547,all_genes,unrecorded,6,274,1331,151,ok,0.28102189781021897,0.9444027047332832,5.0545965673702895
