tool,stratum,tier,side,heldout_gene,threshold_from_6_genes,heldout_lr
alphagenome,pm12,supporting,pp3,BARD1,,
alphagenome,pm12,supporting,pp3,PALB2,,
alphagenome,pm12,supporting,pp3,RAD51C,,
alphagenome,pm12,supporting,pp3,VHL,,
alphagenome,pm12,supporting,pp3,BAP1,,
alphagenome,pm12,moderate,pp3,BRCA1,,
alphagenome,pm12,moderate,pp3,BRCA2,,
alphagenome,pm12,moderate,pp3,BARD1,,
alphagenome,pm12,moderate,pp3,PALB2,,
alphagenome,pm12,moderate,pp3,RAD51C,,
alphagenome,pm12,moderate,pp3,VHL,,
alphagenome,pm12,moderate,pp3,BAP1,,
alphagenome,pm12,strong,pp3,BRCA1,,
alphagenome,pm12,strong,pp3,BRCA2,,
alphagenome,pm12,strong,pp3,BARD1,,
alphagenome,pm12,strong,pp3,PALB2,,
alphagenome,pm12,strong,pp3,RAD51C,,
alphagenome,pm12,strong,pp3,VHL,,
alphagenome,pm12,strong,pp3,BAP1,,
alphagenome,pm12,very_strong,pp3,BRCA1,,
alphagenome,pm12,very_strong,pp3,BRCA2,,
alphagenome,pm12,very_strong,pp3,BARD1,,
alphagenome,pm12,very_strong,pp3,PALB2,,
alphagenome,pm12,very_strong,pp3,RAD51C,,
alphagenome,pm12,very_strong,pp3,VHL,,
alphagenome,pm12,very_strong,pp3,BAP1,,
alphagenome,s3_10,supporting,pp3,BRCA1,2.1990426182746887,21.774358974358975
alphagenome,s3_10,supporting,pp3,BRCA2,2.1991482853889464,21.428571428571427
alphagenome,s3_10,supporting,pp3,BARD1,2.1988352060317995,11.710606060606061
alphagenome,s3_10,supporting,pp3,PALB2,2.1991865158081056,13.832512315270938
alphagenome,s3_10,supporting,pp3,RAD51C,2.1990930080413817,10.74715909090909
alphagenome,s3_10,supporting,pp3,VHL,2.1990775227546693,27.0
alphagenome,s3_10,supporting,pp3,BAP1,2.199106752872467,11.087849910661108
alphagenome,s3_10,moderate,pp3,BRCA1,2.199561524391174,38.043269230769226
alphagenome,s3_10,moderate,pp3,BRCA2,2.199571061134338,27.333333333333332
alphagenome,s3_10,moderate,pp3,BARD1,2.199286437034607,15.698347107438016
alphagenome,s3_10,moderate,pp3,PALB2,2.1995164155960083,19.862068965517242
alphagenome,s3_10,moderate,pp3,RAD51C,2.199536609649658,15.15625
alphagenome,s3_10,moderate,pp3,VHL,2.199508845806122,
alphagenome,s3_10,moderate,pp3,BAP1,2.1995542287826537,14.167808219178083
alphagenome,s3_10,strong,pp3,BRCA1,2.199893927574158,48.25
alphagenome,s3_10,strong,pp3,BRCA2,2.1998838901519777,35.0
