score_column,stratum,clinvar_arm,scope,gene,n,walker_in_scope,n_pos,n_neg,frac_pp3,frac_grey,frac_bp4,sens_pp3,spec_pp3,lr_pp3,lr_bp4,lr_minus_at_pp3,prop_grey_pos,prop_grey_neg,lr_pp3_lo,lr_bp4_lo,sens_pp3_lo,spec_pp3_lo,lr_minus_at_pp3_lo,lr_pp3_hi,lr_bp4_hi,sens_pp3_hi,spec_pp3_hi,lr_minus_at_pp3_hi,n_genes,ci_basis,status,reason,tier_pp3,tier_bp4,posterior_pp3_prior0.05,posterior_bp4_prior0.05,posterior_pp3_prior0.1,posterior_bp4_prior0.1,posterior_pp3_prior0.2,posterior_bp4_prior0.2
spliceai,pm12,classified,gene,BARD1,57,False,57,0,,,,,,,,,,,,,,,,,,,,,,,not evaluable,fewer than 10 labelled variants on one side,,,,,,,,
spliceai,pm12,classified,gene,BRCA1,105,False,103,2,,,,,,,,,,,,,,,,,,,,,,,not evaluable,fewer than 10 labelled variants on one side,,,,,,,,
spliceai,pm12,classified,gene,BRCA2,108,False,102,6,,,,,,,,,,,,,,,,,,,,,,,not evaluable,fewer than 10 labelled variants on one side,,,,,,,,
spliceai,pm12,classified,gene,PALB2,76,False,75,1,,,,,,,,,,,,,,,,,,,,,,,not evaluable,fewer than 10 labelled variants on one side,,,,,,,,
spliceai,pm12,classified,gene,RAD51C,45,False,45,0,,,,,,,,,,,,,,,,,,,,,,,not evaluable,fewer than 10 labelled variants on one side,,,,,,,,
spliceai,pm12,classified,gene,VHL,20,False,20,0,,,,,,,,,,,,,,,,,,,,,,,not evaluable,fewer than 10 labelled variants on one side,,,,,,,,
spliceai,pm12,recorded_unclassified,pooled,(pooled),95,False,86,9,,,,,,,,,,,,,,,,,,,,,,,not evaluable,fewer than 10 labelled variants on one side,,,,,,,,
spliceai,pm12,recorded_unclassified,gene,BAP1,11,False,9,2,,,,,,,,,,,,,,,,,,,,,,,not evaluable,fewer than 10 labelled variants on one side,,,,,,,,
spliceai,pm12,recorded_unclassified,gene,BARD1,19,False,19,0,,,,,,,,,,,,,,,,,,,,,,,not evaluable,fewer than 10 labelled variants on one side,,,,,,,,
spliceai,pm12,recorded_unclassified,gene,BRCA1,30,False,25,5,,,,,,,,,,,,,,,,,,,,,,,not evaluable,fewer than 10 labelled variants on one side,,,,,,,,
spliceai,pm12,recorded_unclassified,gene,BRCA2,1,False,0,1,,,,,,,,,,,,,,,,,,,,,,,not evaluable,fewer than 10 labelled variants on one side,,,,,,,,
spliceai,pm12,recorded_unclassified,gene,PALB2,23,False,22,1,,,,,,,,,,,,,,,,,,,,,,,not evaluable,fewer than 10 labelled variants on one side,,,,,,,,
spliceai,pm12,recorded_unclassified,gene,RAD51C,10,False,10,0,,,,,,,,,,,,,,,,,,,,,,,not evaluable,fewer than 10 labelled variants on one side,,,,,,,,
spliceai,pm12,recorded_unclassified,gene,VHL,1,False,1,0,,,,,,,,,,,,,,,,,,,,,,,not evaluable,fewer than 10 labelled variants on one side,,,,,,,,
spliceai,pm12,unrecorded,pooled,(pooled),266,False,249,17,0.9962406015037594,0.0037593984962406013,0.0,0.9959839357429718,0.0,0.9959839357429718,0.07200000000000001,,0.004016064257028162,0.0,0.9879518072289156,0.038461538461538464,0.9879518072289156,0.0,,1.0,0.1470950449145175,1.0,0.0,,6.0,"gene-clustered bootstrap, 2000 resamples of 6 genes",ok,,below supporting,Moderate,0.04980919863426391,0.0037751677852349,0.09963840899959824,0.007936507936507938,0.19935691318327975,0.017681728880157174
spliceai,pm12,unrecorded,gene,BAP1,112,False,101,11,1.0,0.0,0.0,1.0,0.0,1.0,0.11764705882352941,,0.0,0.0,,,,,,,,,,,,per-gene point estimate; no interval,ok,,below supporting,Moderate,0.05,0.006153846153846154,0.1,0.012903225806451613,0.2,0.028571428571428574
spliceai,pm12,unrecorded,gene,BARD1,43,False,43,0,,,,,,,,,,,,,,,,,,,,,,,not evaluable,fewer than 10 labelled variants on one side,,,,,,,,
spliceai,pm12,unrecorded,gene,BRCA2,25,False,19,6,,,,,,,,,,,,,,,,,,,,,,,not evaluable,fewer than 10 labelled variants on one side,,,,,,,,
spliceai,pm12,unrecorded,gene,PALB2,42,False,42,0,,,,,,,,,,,,,,,,,,,,,,,not evaluable,fewer than 10 labelled variants on one side,,,,,,,,
spliceai,pm12,unrecorded,gene,RAD51C,41,False,41,0,,,,,,,,,,,,,,,,,,,,,,,not evaluable,fewer than 10 labelled variants on one side,,,,,,,,
spliceai,pm12,unrecorded,gene,VHL,3,False,3,0,,,,,,,,,,,,,,,,,,,,,,,not evaluable,fewer than 10 labelled variants on one side,,,,,,,,
