gene_set,stratum,clinvar_arm,tool,n,k_genes,n_pos,n_neg,auroc,auroc_lo,auroc_hi,auprc_median,status,walker_sens_pp3,walker_spec_pp3,walker_lr_pp3,walker_lr_bp4,walker_lr_bp4_for_tier,walker_tier_pp3
all_genes,s3_50,unrecorded,spliceai_walker,5095,6,448.0,4647.0,0.8975070896692471,0.8180405014711384,0.9446180564387765,0.6955005809494663,ok,0.6361607142857143,0.9199483537766301,7.9468786002304155,0.28902449137549757,0.28902449137549757,Moderate
all_genes,s3_50,unrecorded,avi,5095,6,448.0,4647.0,0.8828723169882772,0.819139959084134,0.9261705299704203,0.7027867711982652,ok,0.8638392857142857,0.6333118140735958,2.355787066146881,0.16382981723826714,0.16382981723826714,Supporting
all_genes,s3_50,unrecorded,avi_splice_sites,5095,6,448.0,4647.0,0.8685856645447304,0.790053675161204,0.9206910139987685,0.5664792700677947,ok,0.5401785714285714,0.9418979987088444,9.297073412698412,0.3360951247305749,0.3360951247305749,Moderate
all_genes,s3_50,unrecorded,avi_splice_site_usage,5095,6,448.0,4647.0,0.8991518236344328,0.8290788813362787,0.9424895570344151,0.7014599337012368,ok,0.5736607142857143,0.9543791693565742,12.574534619272237,0.36438294580127134,0.36438294580127134,Moderate
all_genes,s3_50,unrecorded,avi_splice_junctions,5095,6,448.0,4647.0,0.8935358418749882,0.8100796045665304,0.9429039033818231,0.7279726839112334,ok,0.9308035714285714,0.39616957176673123,1.5414982881071173,0.147655058464667,0.147655058464667,below supporting
all_genes,all_1_50,classified,spliceai,1889,7,596.0,1293.0,0.9642935692119401,0.9325527947170319,0.981395085131028,0.9770813469580297,ok,0.9026845637583892,0.9605568445475638,22.88570864587446,0.07300177774174682,0.07300177774174682,Strong
all_genes,all_1_50,classified,pangolin,1889,7,596.0,1293.0,0.9635962370331762,0.9327946246169854,0.9805748167678117,0.9653242994809689,ok,0.9144295302013423,0.9651972157772621,26.27460850111857,0.07416967819652383,0.07416967819652383,Strong
all_genes,all_1_50,classified,alphagenome,1889,7,596.0,1293.0,0.9639657501776318,0.9281739112435645,0.9822628988374368,0.9605447223580861,ok,1.0,0.0,1.0,,,below supporting
all_genes,all_1_50,classified,cadd,1889,7,596.0,1293.0,0.9416873282453607,0.8925587920036382,0.9691283614529577,0.9447829534520419,ok,1.0,0.04563031709203403,1.0478119935170178,0.0,0.2169463087248322,below supporting
all_genes,all_1_50,classified,phylop,1889,7,596.0,1293.0,0.938574463339234,0.9054089287813367,0.960617300245722,0.9290633425364724,ok,0.9580536912751678,0.5166279969064191,1.9820214765100672,0.08535592474419627,0.08535592474419627,below supporting
