tool,stratum,tier,path_cut_lr,n_genes,k,n_subsets,n_subsets_fitted,n_subsets_reached,frac_subsets_reached,threshold_median,threshold_q25,threshold_q75,threshold_min,threshold_max,threshold_all_genes,n_pairs,n_pairs_evaluable,n_pairs_cleared,frac_pairs_cleared,heldout_lr_median,heldout_lr_q25,heldout_lr_q75
avi,s11_50,strong,18.7,6,2,15,15,0,0.0,,,,,,1.1270228624343872,40,0,0,,,,
avi,s11_50,strong,18.7,6,3,20,20,0,0.0,,,,,,1.1270228624343872,40,0,0,,,,
avi,s11_50,strong,18.7,6,4,15,15,0,0.0,,,,,,1.1270228624343872,20,0,0,,,,
avi,s11_50,strong,18.7,6,5,6,6,2,0.3333333333333333,1.1923002004623413,1.1713535785675049,1.2132468223571777,1.1504069566726685,1.2341934442520142,1.1270228624343872,4,0,0,,,,
avi,s3_50,moderate,4.33,7,2,21,21,21,1.0,0.820452868938446,0.7822341918945312,0.84681636095047,0.7214831709861755,0.9055987000465393,0.8246464729309082,75,75,75,1.0,30.855042016806728,17.360349329661194,43.43961352657005
avi,s3_50,moderate,4.33,7,3,35,35,35,1.0,0.8126079440116882,0.791643500328064,0.8345199227333069,0.7155988216400146,0.9271506667137146,0.8246464729309082,100,100,100,1.0,28.757024265644954,17.121641249092228,38.3048475762119
avi,s3_50,moderate,4.33,7,4,35,35,35,1.0,0.84681636095047,0.8044720888137817,0.8729423582553864,0.757012128829956,0.9460424780845642,0.8246464729309082,75,75,75,1.0,31.851851851851848,18.165196744639687,46.278412356321844
avi,s3_50,moderate,4.33,7,5,21,21,21,1.0,0.8546542525291443,0.8176642060279846,0.8717913627624512,0.7853562235832214,0.8793784976005554,0.8246464729309082,30,30,30,1.0,31.851851851851848,17.882183257918552,44.785560344827594
avi,s3_50,moderate,4.33,7,6,7,7,7,1.0,0.845728874206543,0.8232950568199158,0.850358635187149,0.8048641681671143,0.8546542525291443,0.8246464729309082,5,5,5,1.0,31.851851851851848,18.188235294117646,38.807320024198425
avi,s3_50,strong,18.7,7,2,21,21,19,0.9047619047619048,1.1788309812545776,1.128472924232483,1.2701587080955505,1.04774808883667,1.4099864959716797,1.171376347541809,75,63,63,1.0,53.47826086956521,44.400176678445234,266.4014536849222
avi,s3_50,strong,18.7,7,3,35,35,35,1.0,1.1483869552612305,1.1270228624343872,1.226523220539093,1.1023653745651245,1.2706316709518433,1.171376347541809,100,100,100,1.0,53.47826086956521,46.66666666666667,273.1764705882353
avi,s3_50,strong,18.7,7,4,35,35,35,1.0,1.1880286931991577,1.130849838256836,1.2096864581108093,1.1141736507415771,1.2311934232711792,1.171376347541809,75,75,75,1.0,53.47826086956521,47.77777777777778,273.1764705882353
avi,s3_50,strong,18.7,7,5,21,21,21,1.0,1.1862199306488037,1.1427197456359863,1.1990853548049927,1.1241847276687622,1.208266258239746,1.171376347541809,30,30,30,1.0,53.47826086956521,42.77777777777778,273.1764705882353
avi,s3_50,strong,18.7,7,6,7,7,7,1.0,1.1815255880355835,1.1751036643981934,1.1815255880355835,1.1241847276687622,1.183138370513916,1.171376347541809,5,5,5,1.0,53.47826086956521,46.66666666666667,273.1764705882353
