condition,object,target_spec,threshold,sensitivity,specificity_achieved,n,n_pos,n_neg,lr_plus,lr_minus,lr_plus_interp,sensitivity_interp,acmg_tier_observed,acmg_tier,tier_basis
y_assay/BRCA1_excluded,cadd,0.9,0.5476193420594194,0.8176895306859205,0.9001919385796545,1075,554,521,8.192620105526244,0.2025239968286469,8.176895306859207,0.8176895306859205,Moderate,Moderate,interpolated to the nominal specificity
y_assay/BRCA1_excluded,cadd,0.95,0.5921895364392236,0.7743682310469314,0.9500959692898272,1075,554,521,15.517148014440433,0.23748313459504794,15.487364620938616,0.7743682310469314,Moderate,Moderate,interpolated to the nominal specificity
y_assay/BRCA1_excluded,cadd,0.975,0.6918250474228224,0.6119133574007221,0.9750479846449136,1075,554,521,24.52360455429048,0.398017993689417,24.478339350180484,0.6119584837545127,Strong,Strong,interpolated to the nominal specificity
y_assay/BRCA1_excluded,cadd,0.99,0.8562651501791138,0.29061371841155237,0.9923224568138196,1075,554,521,37.852436823104696,0.7148747634576039,30.535649819494576,0.30535649819494604,Strong,Strong,interpolated to the nominal specificity
y_assay/BRCA1_excluded,alphamissense,0.9,,,,1,0,1,,,,,not evaluable,not evaluable,interpolated to the nominal specificity
y_assay/BRCA1_excluded,alphamissense,0.95,,,,1,0,1,,,,,not evaluable,not evaluable,interpolated to the nominal specificity
y_assay/BRCA1_excluded,alphamissense,0.975,,,,1,0,1,,,,,not evaluable,not evaluable,interpolated to the nominal specificity
y_assay/BRCA1_excluded,alphamissense,0.99,,,,1,0,1,,,,,not evaluable,not evaluable,interpolated to the nominal specificity
y_assay/BRCA1_excluded,gnomad_af,0.9,0.8693134822167081,0.2037037037037037,0.9020408163265307,407,162,245,2.0794753086419755,0.8827719121836768,2.0370370370370376,0.20370370370370372,below supporting,below supporting,interpolated to the nominal specificity
y_assay/BRCA1_excluded,gnomad_af,0.95,0.9600220567962504,0.07407407407407407,0.9510204081632653,407,162,245,1.5123456790123457,0.9736130980766174,1.5123456790123453,0.07561728395061733,below supporting,below supporting,interpolated to the nominal specificity
y_assay/BRCA1_excluded,gnomad_af,0.975,0.9665012406947892,0.030864197530864196,0.9755102040816327,407,162,245,1.2602880658436213,0.9934655715687793,1.2962962962963036,0.03240740740740762,below supporting,below supporting,interpolated to the nominal specificity
y_assay/BRCA1_excluded,gnomad_af,0.99,,,,407,162,245,,,1.5123456790123389,0.015123456790123403,not evaluable,below supporting,interpolated to the nominal specificity
y_assay/BRCA1_excluded,phylop,0.9,0.5816258599886581,0.7693602693602694,0.9006968641114983,1168,594,574,7.747592887943765,0.25606809552650944,7.6936026936026956,0.7693602693602694,Moderate,Moderate,interpolated to the nominal specificity
y_assay/BRCA1_excluded,phylop,0.95,0.6610340340523798,0.6599326599326599,0.9512195121951219,1168,594,574,13.528619528619528,0.3575066908400242,13.22222222222221,0.6611111111111111,Moderate,Moderate,interpolated to the nominal specificity
y_assay/BRCA1_excluded,phylop,0.975,0.7225229841235601,0.5555555555555556,0.9790940766550522,1168,594,574,26.574074074074073,0.453934361407671,22.222222222222204,0.5555555555555556,Strong,Strong,interpolated to the nominal specificity
y_assay/BRCA1_excluded,phylop,0.99,0.9108445777983742,0.18181818181818182,0.9912891986062717,1168,594,574,20.872727272727275,0.8253714650902699,18.368686868686847,0.18368686868686862,Strong,Moderate,interpolated to the nominal specificity
y_assay/BRCA1_excluded,phastcons,0.9,0.9322580260506306,0.5336700336700336,0.926829268292683,1168,594,574,7.293490460157127,0.5031454899875952,6.074592074592076,0.6074592074592075,Moderate,Moderate,interpolated to the nominal specificity
