condition,calibration,object,n,n_pos,n_neg,threshold_at_spec95,sensitivity_at_that_point,specificity_achieved,lr_plus,lr_plus_lo,lr_plus_hi,n_boot_evaluable,lr_plus_interp,sensitivity_interp,lr_plus_interp_lo,lr_plus_interp_hi,n_boot_evaluable_interp,lr_minus_at_spec95,lr_minus_at_sens95,threshold_at_sens95,acmg_tier_observed,acmg_tier,tier_basis,benign_tier_at_sens95,cal_method
y_clinvar/BRCA1_included,raw,single:spliceai,946,555,391,0.516453437073875,0.9765765765765766,0.9514066496163683,20.09691797060218,19.170215590685345,22.691411627143033,2000,19.531531531531513,0.9765765765765766,18.762886597938127,19.950495049504934,2000,0.024619781071393954,0.049535472972972915,0.5630649326692493,Strong,Strong,interpolated to the nominal specificity,Strong,isotonic
y_clinvar/BRCA1_included,calibrated_isotonic,single:spliceai,946,555,391,0.5677510128508323,0.9531531531531532,0.9539641943734015,20.704604604604604,18.94706273690408,442.55122112973066,2000,19.063063063063048,0.9531531531531532,17.86195846476726,19.920741262556227,2000,0.049107552592807246,0.05072432432432427,0.6,Strong,Strong,interpolated to the nominal specificity,Strong,isotonic
y_clinvar/BRCA1_included,raw,single:pangolin,946,555,391,0.47623392422662497,0.9963963963963964,0.9514066496163683,20.504788999525843,19.896907216494846,23.13535605430867,2000,19.92792792792791,0.9963963963963964,19.53176865899601,19.999999999999982,2000,0.0037876586263682647,0.04915147705845375,0.558586637534006,Strong,Strong,interpolated to the nominal specificity,Strong,isotonic
y_clinvar/BRCA1_included,calibrated_isotonic,single:pangolin,946,555,391,0.2899718162673979,0.9783783783783784,0.9514066496163683,20.133997155049787,19.48052268244576,46.11464339057764,2000,19.600600600600583,0.9800300300300301,18.968598677353583,19.999999999999982,2000,0.022725951758209822,0.04745367128786814,0.8181818181818182,Strong,Strong,interpolated to the nominal specificity,Strong,isotonic
y_clinvar/BRCA1_included,raw,single:alphagenome,946,555,391,0.5054055656573642,0.9603603603603603,0.9514066496163683,19.76320531057373,19.211015262110156,23.135734072022164,2000,19.20720720720719,0.9603603603603603,18.77777777777776,19.840637450199186,2000,0.04166424489005138,0.05058941920644043,0.5162166969720927,Strong,Strong,interpolated to the nominal specificity,Strong,isotonic
y_clinvar/BRCA1_included,calibrated_isotonic,single:alphagenome,946,555,391,0.7012857757187968,0.918918918918919,0.9616368286445013,23.953153153153153,18.32520325203252,28.205386029411756,2000,18.37837837837836,0.9189189189189189,17.926229508196705,19.679919193870305,2000,0.08431569867740075,0.04451539451539454,0.5294117647058824,Strong,Moderate,interpolated to the nominal specificity,Strong,isotonic
y_clinvar/BRCA1_included,raw,single:gpn_msa,946,555,391,0.542047672522125,0.9027027027027027,0.9514066496163683,18.576671408250355,17.88332520891365,21.372340425531917,2000,18.05405405405404,0.9027027027027027,17.559620952882323,18.971962616822413,2000,0.1022667829119442,0.05729404102898073,0.4531517643028434,Moderate,Moderate,interpolated to the nominal specificity,Moderate,isotonic
y_clinvar/BRCA1_included,calibrated_isotonic,single:gpn_msa,946,555,391,0.6923076923076923,0.8990990990990991,0.9514066496163683,18.502513039355147,17.64229649880942,34.98274987316083,2000,17.981981981981967,0.8990990990990991,17.049149338374278,18.82208994708993,2000,0.10605444153831246,0.053847478051299705,0.23076923076923078,Moderate,Moderate,interpolated to the nominal specificity,Moderate,isotonic
y_clinvar/BRCA1_included,raw,single:nt,946,555,391,0.7029257239111254,0.5747747747747748,0.9514066496163683,11.828259838786156,9.576908635794744,15.702597677901517,2000,11.495495495495486,0.5747747747747748,9.175862440320198,14.561384615384593,2000,0.4469437179114598,0.17612612612612594,0.15384615384615385,Moderate,Moderate,interpolated to the nominal specificity,Moderate,isotonic
y_clinvar/BRCA1_included,calibrated_isotonic,single:nt,946,555,391,0.8284801602353826,0.5711711711711712,0.9539641943734015,12.407107107107107,9.102497175294177,18.388184967249902,2000,11.44204204204203,0.572102102102102,8.979395604395595,14.37249882665831,2000,0.44952298142646663,0.1389163811699021,0.2159090909090909,Moderate,Moderate,interpolated to the nominal specificity,Moderate,isotonic
