set,scheme,model,Brier,ECE,actionable_frac,actionable_acc
y_assay/BRCA1_excluded,quintile,single:spliceai,0.09390634585223687,0.060242532707613344,0.6930401630046851,0.9223818647686776
y_assay/BRCA1_excluded,quintile,single:pangolin,0.08441295330968487,0.024490728806233448,0.7037378110513317,0.957145176446355
y_assay/BRCA1_excluded,quintile,single:alphagenome,0.09227392373570296,0.04270883899618007,0.7014781524598052,0.957607917268952
y_assay/BRCA1_excluded,quintile,single:gpn_msa,0.124080267066345,0.050134997545744076,0.48294052175494867,0.9385481433514639
y_assay/BRCA1_excluded,quintile,single:nt,0.17827181005864928,0.07398056664467627,0.1866637001372786,0.9279121762083731
y_assay/BRCA1_excluded,quintile,single:cadd,0.1079438895313402,0.03925910726085295,0.6670886182486142,0.9325830918160484
y_assay/BRCA1_excluded,quintile,single:alphamissense,,,,
y_assay/BRCA1_excluded,quintile,single:gnomad_af,0.23611070569255138,0.08036136942380998,0.019371489435093,0.6259028739359591
y_assay/BRCA1_excluded,quintile,single:phylop,0.1321547065135932,0.04378958820840814,0.40632809227763644,0.9231491164325046
y_assay/BRCA1_excluded,quintile,single:phastcons,0.1541620817271536,0.08019156708287033,0.17438699523978743,0.8160745194410638
y_assay/BRCA1_excluded,decile,fusion_M1,0.07175389019652349,0.03102738070119763,0.7468644015675618,0.9586088090920064
y_assay/BRCA1_excluded,decile,mean_M0b,0.08491795230001245,0.026246271251376366,0.7175648184329335,0.957323051480412
y_assay/BRCA1_excluded,decile,single:spliceai,0.0934255287735309,0.059939547104090794,0.6936587228278588,0.923013041544739
y_assay/BRCA1_excluded,decile,single:pangolin,0.08381275628038476,0.024223312034073515,0.7054348003125879,0.9574788482511801
y_assay/BRCA1_excluded,decile,single:alphagenome,0.09200433276239783,0.04263145994490276,0.7013753535299121,0.9583289022059782
y_assay/BRCA1_excluded,decile,single:gpn_msa,0.12385549227131067,0.05034151860842537,0.4838226128072482,0.939103076286824
y_assay/BRCA1_excluded,decile,single:nt,0.17765548748042936,0.07429607094387858,0.18662638772489648,0.9286134417385322
y_assay/BRCA1_excluded,decile,single:cadd,0.10731520903533305,0.039609382582821026,0.6677852110165681,0.9331206311699134
y_assay/BRCA1_excluded,decile,single:alphamissense,,,,
y_assay/BRCA1_excluded,decile,single:gnomad_af,0.23612631275746335,0.07923737723523705,0.019714191061387717,0.6324309505805142
y_assay/BRCA1_excluded,decile,single:phylop,0.13165721724648635,0.04387453396307907,0.40707702585270433,0.9237268502180945
y_assay/BRCA1_excluded,decile,single:phastcons,0.15379863519352105,0.08081153543333211,0.17595659573003877,0.817964156226957
y_assay/BRCA1_excluded,vigintile,fusion_M1,0.0716545264496285,0.03136828375311545,0.7469109072458303,0.9587001587165704
y_assay/BRCA1_excluded,vigintile,mean_M0b,0.0846273832546415,0.026636524437706793,0.7168944489998333,0.9578578395248184
y_assay/BRCA1_excluded,vigintile,single:spliceai,0.09313127009840305,0.059951333002251125,0.6940270874599077,0.9230574071115875
y_assay/BRCA1_excluded,vigintile,single:pangolin,0.08413642683993185,0.02446682309447501,0.705503456893389,0.9571407567714898
y_assay/BRCA1_excluded,vigintile,single:alphagenome,0.092271496863232,0.04294121567973809,0.7008554921886434,0.9584746463712501
y_assay/BRCA1_excluded,vigintile,single:gpn_msa,0.1233860140029374,0.04957775637766457,0.4846326041059468,0.9389766141096699
