Tool,"Stratum (intronic offset, bp)",Tier,Tier LR cut,Reached in-sample,In-sample threshold (gene-clustered bootstrap),In-sample threshold (variant-level bootstrap),Held-out genes,Folds with a fitted threshold,Folds with an evaluable held-out LR,Held-out genes clearing the cut,"Held-out LR, median","Held-out LR, minimum","Held-out LR, maximum",Held-out LR per fold
AlphaGenome Atlas splice sites,11–50,Strong,18.7,No,,,6,0,0,0,,,,BAP1=no threshold; BARD1=no threshold; BRCA1=no threshold; PALB2=no threshold; RAD51C=no threshold; VHL=no threshold
AlphaGenome Atlas splice sites,3–50,Supporting,2.08,Yes,0.296875,0.2773,7,7,7,7,20.2,7.07,51.9,BAP1=7.17; BARD1=51.9; BRCA1=44.2; BRCA2=18.0; PALB2=27.0; RAD51C=20.2; VHL=7.07
AlphaGenome Atlas splice sites,3–50,Moderate,4.33,Yes,0.4295,0.3896,7,7,7,7,25.6,9.83,89.6,BAP1=9.83; BARD1=89.6; BRCA1=77.8; BRCA2=21.9; PALB2=33.5; RAD51C=25.6; VHL=11.7
AlphaGenome Atlas splice sites,3–50,Strong,18.7,Yes,0.84757,0.830688,7,7,6,5,71.0,13.1,602,BAP1=13.1; BARD1=602; BRCA1=97.5; BRCA2=44.4; PALB2=189; RAD51C=44.4; VHL=n.e.
AlphaGenome Atlas splice site usage,3–10,Supporting,2.08,Yes,0.53906,0.49707,7,7,7,7,21.3,10.8,54.0,BAP1=10.8; BARD1=14.3; BRCA1=41.3; BRCA2=27.9; PALB2=14.6; RAD51C=21.3; VHL=54.0
AlphaGenome Atlas splice site usage,3–10,Moderate,4.33,Yes,0.6787,0.6152,7,7,6,6,23.9,10.6,39.0,BAP1=10.6; BARD1=22.3; BRCA1=39.0; BRCA2=27.3; PALB2=18.6; RAD51C=25.5; VHL=n.e.
AlphaGenome Atlas splice site usage,3–10,Strong,18.7,Yes,0.9189,0.9124755859,7,7,5,5,59.8,21.0,126,BAP1=21.0; BARD1=122; BRCA1=126; BRCA2=n.e.; PALB2=59.8; RAD51C=36.4; VHL=n.e.
AlphaGenome Atlas splice site usage,11–50,Supporting,2.08,Yes,0.1328,0.1171875,6,6,5,5,21.8,7.88,26.6,BAP1=11.9; BARD1=26.6; BRCA1=n.e.; PALB2=7.88; RAD51C=21.8; VHL=23.8
AlphaGenome Atlas splice site usage,11–50,Moderate,4.33,Yes,0.2539,0.1992,6,6,4,4,29.7,9.35,63.6,BAP1=14.9; BARD1=63.6; BRCA1=n.e.; PALB2=9.35; RAD51C=44.6; VHL=n.e.
AlphaGenome Atlas splice site usage,11–50,Strong,18.7,Yes,0.6875,0.6416,6,2,0,0,,,,BAP1=no threshold; BARD1=no threshold; BRCA1=n.e.; PALB2=n.e.; RAD51C=no threshold; VHL=no threshold
