Genes,"Stratum (intronic offset, bp)",ClinVar record status,Tool,Fitted threshold tier,Fitted threshold,Genes contributing,Damaging,Normal,Variants in band,Sensitivity,Specificity,Band LR at fitted threshold,Band LR at published cut point (≥ 0.2),AUROC (95% CI),Genes pooled for AUROC
All genes,"1–50 incl. ±1,2, out of scope","Recorded, not classified",Pangolin,,,,,,,,,,,0.928 (0.883–0.956),6
All genes,"1–50 incl. ±1,2, out of scope","Recorded, not classified",AlphaGenome,,,,,,,,,,,0.928 (0.874–0.960),6
All genes,"1–50 incl. ±1,2, out of scope","Recorded, not classified",CADD,,,,,,,,,,,0.811 (0.769–0.847),6
All genes,"1–50 incl. ±1,2, out of scope","Recorded, not classified",phyloP-100way,,,,,,,,,,,0.763 (0.697–0.819),6
All genes,"1–50 incl. ±1,2, out of scope","Recorded, not classified",phastCons-100way,,,,,,,,,,,0.743 (0.663–0.809),6
All genes,"1–50 incl. ±1,2, out of scope","Recorded, not classified",GPN-MSA,,,,,,,,,,,0.814 (0.757–0.860),6
All genes,"1–50 incl. ±1,2, out of scope","Recorded, not classified",NT-v2-500M,,,,,,,,,,,0.712 (0.651–0.766),6
All genes,"1–50 incl. ±1,2, out of scope","Recorded, not classified","SpliceAI (±4,999 nt, Walker basis)",,,,,,,,,,,0.914 (0.858–0.950),6
All genes,"1–50 incl. ±1,2, out of scope","Recorded, not classified",AlphaGenome Atlas AVI,,,,,,,,,,,0.924 (0.866–0.958),6
All genes,"1–50 incl. ±1,2, out of scope","Recorded, not classified",AlphaGenome Atlas splice sites,,,,,,,,,,,0.914 (0.861–0.948),6
All genes,"1–50 incl. ±1,2, out of scope","Recorded, not classified",AlphaGenome Atlas splice site usage,,,,,,,,,,,0.930 (0.872–0.963),6
All genes,"1–50 incl. ±1,2, out of scope","Recorded, not classified",AlphaGenome Atlas splice junctions,,,,,,,,,,,0.920 (0.869–0.953),6
All genes,"1–50 incl. ±1,2, out of scope",Not in ClinVar,SpliceAI (±50 nt),,,,,,,,,,,0.928 (0.868–0.962),6
All genes,"1–50 incl. ±1,2, out of scope",Not in ClinVar,Pangolin,,,,,,,,,,,0.934 (0.890–0.960),6
All genes,"1–50 incl. ±1,2, out of scope",Not in ClinVar,AlphaGenome,,,,,,,,,,,0.929 (0.876–0.961),6
All genes,"1–50 incl. ±1,2, out of scope",Not in ClinVar,CADD,,,,,,,,,,,0.838 (0.792–0.875),6
All genes,"1–50 incl. ±1,2, out of scope",Not in ClinVar,phyloP-100way,,,,,,,,,,,0.823 (0.800–0.844),6
