n_training_genes,held_out_gene,training_genes,n_test,brier
3,BRCA2,RAD51C+BARD1+BAP1,268,0.06724334728733568
3,BRCA2,RAD51C+VHL+BAP1,268,0.06716531096223848
3,BRCA2,BARD1+VHL+BAP1,268,0.06870179846338101
3,PALB2,BRCA2+BRCA1+RAD51C,215,0.06553237484871016
3,PALB2,BRCA2+BRCA1+BARD1,215,0.06765306603689082
3,PALB2,BRCA2+BRCA1+VHL,215,0.06721282798850355
3,PALB2,BRCA2+BRCA1+BAP1,215,0.07284605409533047
3,PALB2,BRCA2+RAD51C+BARD1,215,0.07168284937024529
3,PALB2,BRCA2+RAD51C+VHL,215,0.07177996248635689
3,PALB2,BRCA2+RAD51C+BAP1,215,0.0671872504980586
3,PALB2,BRCA2+BARD1+VHL,215,0.06825290214418654
3,PALB2,BRCA2+BARD1+BAP1,215,0.07006953062750257
3,PALB2,BRCA2+VHL+BAP1,215,0.07282318470474668
3,PALB2,BRCA1+RAD51C+BARD1,215,0.06980148308519625
3,PALB2,BRCA1+RAD51C+VHL,215,0.06680746256370754
3,PALB2,BRCA1+RAD51C+BAP1,215,0.07349480234875624
3,PALB2,BRCA1+BARD1+VHL,215,0.07320474062461657
3,PALB2,BRCA1+BARD1+BAP1,215,0.08258732641053035
3,PALB2,BRCA1+VHL+BAP1,215,0.07663199325251104
3,PALB2,RAD51C+BARD1+VHL,215,0.06497068448482556
3,PALB2,RAD51C+BARD1+BAP1,215,0.0775389863834644
3,PALB2,RAD51C+VHL+BAP1,215,0.08024419264241367
3,PALB2,BARD1+VHL+BAP1,215,0.08501746521710804
3,BRCA1,BRCA2+PALB2+RAD51C,507,0.06069083899134671
3,BRCA1,BRCA2+PALB2+BARD1,507,0.05627914608067898
3,BRCA1,BRCA2+PALB2+VHL,507,0.06278014104036429
3,BRCA1,BRCA2+PALB2+BAP1,507,0.053602626078014776
3,BRCA1,BRCA2+RAD51C+BARD1,507,0.05659636555852724
3,BRCA1,BRCA2+RAD51C+VHL,507,0.06274441368481022
3,BRCA1,BRCA2+RAD51C+BAP1,507,0.05591967612231568
3,BRCA1,BRCA2+BARD1+VHL,507,0.05818139941657788
3,BRCA1,BRCA2+BARD1+BAP1,507,0.052344954296669015
3,BRCA1,BRCA2+VHL+BAP1,507,0.056273322706207926
3,BRCA1,PALB2+RAD51C+BARD1,507,0.05719979132982679
3,BRCA1,PALB2+RAD51C+VHL,507,0.06196540454011148
3,BRCA1,PALB2+RAD51C+BAP1,507,0.054731485818574906
3,BRCA1,PALB2+BARD1+VHL,507,0.053426759774552385
